
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Mike Zunino,23,131,476,438,51,87,20,2,22,60,0,3,17,158,.199,.254,.404,.658,88,177,12,17,0,4,1
2,1B,Logan Morrison*,26,99,365,336,41,88,20,0,11,38,5,2,24,59,.262,.315,.420,.735,112,141,9,3,0,2,1
3,2B,Robinson Cano*,31,157,665,595,77,187,37,2,14,82,10,3,61,68,.314,.382,.454,.836,143,270,19,6,0,3,20
4,SS,Brad Miller*,24,123,411,367,47,81,15,4,10,36,4,2,34,95,.221,.288,.365,.653,89,134,2,2,3,3,2
5,3B,Kyle Seager*,26,159,654,590,71,158,27,4,25,96,7,5,52,118,.268,.334,.454,.788,127,268,12,8,1,3,3
6,LF,Dustin Ackley*,26,143,542,502,64,123,27,4,14,65,8,4,32,90,.245,.293,.398,.692,100,200,10,3,3,2,1
7,CF,James Jones*,25,108,328,312,46,78,9,5,0,9,27,1,12,67,.250,.278,.311,.589,72,97,4,0,4,0,0
8,RF,Michael Saunders*,27,78,263,231,38,63,11,3,8,34,4,5,26,59,.273,.341,.450,.791,129,104,2,0,2,4,1
9,DH,Corey Hart,32,68,255,232,17,47,9,0,6,21,2,0,16,59,.203,.271,.319,.590,71,74,1,6,0,1,1
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
10,1B,Justin Smoak#,27,80,276,248,28,50,13,0,7,30,0,1,24,66,.202,.275,.339,.614,78,84,8,2,0,2,0
11,RF,Endy Chavez*,36,80,258,232,22,64,12,2,2,23,5,2,15,30,.276,.317,.371,.688,100,86,2,0,9,2,0
12,DH,Kendrys Morales#,31,59,239,213,16,44,9,0,7,24,0,0,21,41,.207,.285,.347,.632,83,74,8,3,0,2,2
13,CF,Austin Jackson,27,54,236,223,19,51,5,1,0,14,11,2,12,59,.229,.267,.260,.527,55,58,6,0,0,1,0
14,RF,Stefen Romero,25,72,190,177,19,34,6,2,3,11,0,4,4,48,.192,.234,.299,.533,54,53,5,6,2,1,0
15,SS,Chris Taylor,23,47,151,136,16,39,8,0,0,9,5,2,11,39,.287,.347,.346,.692,103,47,3,2,1,1,0
16,UT,Willie Bloomquist,36,47,139,133,15,37,6,0,1,14,1,1,4,32,.278,.297,.346,.643,87,46,1,0,1,1,1
17,CF,Abraham Almonte#,25,27,113,106,10,21,5,1,1,8,3,1,6,40,.198,.248,.292,.540,57,31,1,1,0,0,0
18,C,John Buck,33,27,92,84,9,19,2,0,1,6,0,0,8,24,.226,.293,.286,.579,70,24,1,0,0,0,0
19,RF,Chris Denorfia,33,32,90,82,11,16,2,1,2,5,1,2,7,19,.195,.256,.317,.573,66,26,2,0,0,1,0
20,UT,Cole Gillespie,30,34,78,71,9,18,2,0,1,5,2,2,6,13,.254,.312,.324,.636,86,23,3,0,1,0,0
21,C,Jesus Sucre,26,21,64,61,4,13,2,0,0,5,0,0,0,17,.213,.213,.246,.459,34,15,0,0,3,0,0
22,UT,Nick Franklin#,23,17,52,47,3,6,0,1,0,2,1,0,3,21,.128,.192,.170,.363,7,8,0,1,0,1,0
23,UT,Jesus Montero,24,6,17,17,1,4,0,0,1,2,0,0,0,3,.235,.235,.412,.647,84,7,1,0,0,0,0
24,C,Humberto Quintero,34,3,2,2,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
