
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Travis Wood*,27,8,13,.381,5.03,31,31,0,0,0,0,173.2,190,110,97,20,76,1,146,7,0,2,781,74,4.38,1.532,9.8,1.0,3.9,7.6,1.92
2,SP,Jake Arrieta,28,10,5,.667,2.53,25,25,0,1,1,0,156.2,114,46,44,5,41,2,167,3,0,8,614,148,2.26,0.989,6.5,0.3,2.4,9.6,4.07
3,SP,Edwin Jackson,30,6,15,.286,6.33,28,27,0,0,0,0,140.2,168,105,99,18,63,3,123,3,0,9,633,59,4.45,1.642,10.7,1.2,4.0,7.9,1.95
4,SP,Jason Hammel,31,8,5,.615,2.98,17,17,0,0,0,0,108.2,88,36,36,10,23,2,104,5,0,4,429,126,3.19,1.021,7.3,0.8,1.9,8.6,4.52
5,SP,Jeff Samardzija,29,2,7,.222,2.83,17,17,0,0,0,0,108.0,99,44,34,7,31,3,103,6,0,6,449,132,3.09,1.204,8.3,0.6,2.6,8.6,3.32
6,SP,Kyle Hendricks,24,7,2,.778,2.46,13,13,0,0,0,0,80.1,72,24,22,4,15,2,47,4,0,0,321,152,3.32,1.083,8.1,0.4,1.7,5.3,3.13
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Hector Rondon,26,4,4,.500,2.42,64,0,44,0,0,29,63.1,52,21,17,2,15,0,63,0,0,0,255,156,2.26,1.058,7.4,0.3,2.1,9.0,4.20
8,RP,Justin Grimm,25,5,2,.714,3.78,73,0,19,0,0,0,69.0,59,32,29,4,27,2,70,4,0,8,292,99,3.20,1.246,7.7,0.5,3.5,9.1,2.59
9,RP,Pedro Strop,29,2,4,.333,2.21,65,0,13,0,0,2,61.0,40,19,15,2,25,3,71,4,1,6,244,170,2.66,1.066,5.9,0.3,3.7,10.5,2.84
10,RP,Brian Schlitter,28,2,3,.400,4.15,61,0,5,0,0,0,56.1,58,29,26,2,19,4,31,2,0,0,242,91,3.61,1.367,9.3,0.3,3.0,5.0,1.63
11,RP,Wesley Wright*,29,0,3,.000,3.17,58,0,15,0,0,0,48.1,48,19,17,2,19,2,37,2,0,2,209,119,3.44,1.386,8.9,0.4,3.5,6.9,1.95
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Carlos Villanueva,30,5,7,.417,4.64,42,5,15,0,0,2,77.2,89,42,40,6,19,4,72,3,0,3,343,81,3.13,1.391,10.3,0.7,2.2,8.3,3.79
13,,Tsuyoshi Wada*,33,4,4,.500,3.25,13,13,0,0,0,0,69.1,67,28,25,7,19,1,57,3,0,0,289,116,3.75,1.240,8.7,0.9,2.5,7.4,3.00
14,,Neil Ramirez,25,3,3,.500,1.44,50,0,10,0,0,3,43.2,29,11,7,2,17,0,53,2,1,3,177,261,2.61,1.053,6.0,0.4,3.5,10.9,3.12
15,,Jacob Turner,23,2,4,.333,6.49,8,6,0,0,0,0,34.2,42,27,25,4,10,1,17,0,0,3,149,58,4.52,1.500,10.9,1.0,2.6,4.4,1.70
16,,James Russell*,28,0,2,.000,3.51,44,0,7,0,0,1,33.1,24,14,13,3,16,2,26,1,0,1,142,108,4.27,1.200,6.5,0.8,4.3,7.0,1.63
17,,Blake Parker,29,1,1,.500,5.14,18,0,10,0,0,0,21.0,24,13,12,3,4,0,24,0,0,1,91,74,3.27,1.333,10.3,1.3,1.7,10.3,6.00
18,,Felix Doubront*,26,2,1,.667,3.98,4,4,0,0,0,0,20.1,22,9,9,2,7,0,8,0,1,1,87,96,4.66,1.426,9.7,0.9,3.1,3.5,1.14
19,,Eric Jokisch*,24,0,0,,1.88,4,1,0,0,0,0,14.1,18,6,3,3,4,0,10,0,0,0,66,204,5.29,1.535,11.3,1.9,2.5,6.3,2.50
20,,Dan Straily,25,0,1,.000,11.85,7,1,0,0,0,0,13.2,20,20,18,1,9,0,13,1,0,0,72,32,4.38,2.122,13.2,0.7,5.9,8.6,1.44
